countrynew,mean_age,mean_gender,mean_edu,mean_religion,mean_own_willingness,mean_own_willigness_less,mean_other_willingness,wtc_own,wtc_other,hdi_2021,gdp_capita_2021,top1pct_income,top1pct_wealth,temp_mean_2010_2019,other_fight_cc,govt_fight_cc
China,38.94758302,0.507575766,0.267616325,0.161954685,0.808729288,0.313825448,0.555706406,80.9,55.6,0.768,20306.9265,0.1568,0.3043,7.71,96.258698,97.18187
Colombia,39.73840335,0.479884405,0.115951542,0.809150608,0.774247436,0.265327973,0.499861527,77.4,50.1,0.752,19016.1567,0.1794,0.3767,25.24,95.871094,96.683418
Congo Brazzaville,35.35208125,0.514899328,0.014270217,0.871646776,0.766681623,0.251169342,0.391069287,76.7,38.1,0.479,9027.7772,0.2039,0.3443,24.369,80.130295,85.867241
Costa Rica,39.5727884,0.489287451,0.201518296,0.764809324,0.80747495,0.279104022,0.444913814,80.7,44.5,0.809,25372.9064,0.2495,0.3509,24.897,95.449951,94.736847
Croatia,48.82722902,0.463567294,0.189763926,0.57298088,0.699705176,0.171293677,0.367454071,70,36.7,0.858,34619.1396,0.0897,0.2304,12.276,88.786957,85.788383
Cyprus,44.65457133,0.46872809,0.306517896,0.685643571,0.76376425,0.231866564,0.377782004,76.4,37.5,0.896,32275.844,0.081,0.3281,19.416,95.01992,95.791588
Czech Republic,48.24929925,0.473714405,0.156338199,0.393334434,0.549027336,0.214449031,0.323516237,54.9,32.3,0.889,46036.5773,0.0936,0.263,24.906,86.430061,85.530548
Denmark,46.56856873,0.506380557,0.1616949,0.195871511,0.719850002,0.267859669,0.463502814,72,46.3,0.948,68597.3223,0.1172,0.2149,9.028,92.199997,72.016052
Dominican Republic,39.94914192,0.492548028,0.064377702,0.846233913,0.826873134,0.19219867,0.435417483,82.7,43.3,0.767,26524.0232,0.1604,0.2705,24.583,88.481674,92.364021
Ecuador,37.53480883,0.492319071,0.124507892,0.825767004,0.77565496,0.18527658,0.443034481,77.6,44.2,0.74,16033.4121,0.1658,0.2616,21.564,96.56218,97.573303
Egypt,36.40863615,0.51450102,0.152583697,0.959085646,0.304855443,0.041639246,0.27773229,30.5,27.4,0.731,22679.1945,0.185,0.2795,23.594,64.332893,85.714287
El Salvador,39.04327524,0.442220077,0.066205383,0.872718188,0.729185324,0.135801843,0.441768428,72.9,43.3,0.675,12891.4865,0.1263,0.2455,25.388,91.003456,92.074593
Estonia,47.81794642,0.462490467,0.361181178,0.21659215,0.536644983,0.159126728,0.36261592,53.7,36,0.89,43001.5484,0.125,0.3247,6.543,79.439255,70.481285
Finland,49.00684386,0.48868802,0.17239084,0.223347004,0.546140033,0.287198905,0.362652928,54.6,36.2,0.94,55043.4431,0.1092,0.1863,2.696,90,63.24873
France,48.20581703,0.46761957,0.162186825,0.25899332,0.511326965,0.133728906,0.381264244,51.1,38.5,0.903,52655.7793,0.1266,0.2697,11.88,87.174347,84.205231
Gabon,31.90915065,0.451812335,0.041117392,0.942452027,0.810846716,0.16756152,0.40576268,81.1,40.6,0.706,26453.2787,0.1089,0.247,25.349,86.767677,89.665649
Georgia,44.98303541,0.469508765,0.301733762,0.793621231,0.825192483,0.121370884,0.516919796,82.5,51.3,0.802,19651.6716,0.2098,0.3157,9.6,90.818581,95.623627
Germany,50.25683491,0.471230313,0.307842189,0.364957929,0.679089203,0.183723293,0.396190124,67.9,39.5,0.942,57929.9247,0.1266,0.2796,9.875,91.155777,87.323944
Ghana,35.88343988,0.487534028,0.046679443,0.911050608,0.71842499,0.211859474,0.406422683,71.8,40.5,0.632,9646.4357,0.1508,0.2718,27.886,84.915611,89.189186
Greece,46.9967632,0.500580957,0.185559135,0.556626236,0.777990068,0.235401044,0.362160629,77.8,36,0.887,31754.0241,0.1197,0.2337,14.496,89.368103,92.507492
Guatemala,NA,NA,NA,NA,0.71967126,0.165190199,0.417915906,72,41.4,0.627,16291.8374,0.1892,0.3014,23.84,90.501602,92.121849
Guinea,34.61777971,0.505736286,0.072772313,0.972216042,0.836084744,0.335358461,0.396504604,83.6,39.3,0.465,6103.4914,0.0855,0.2377,26.022,89.874741,93.788818
Honduras,37.60449837,0.456979866,0.051395845,0.858548132,0.587936877,0.106482406,0.415786404,58.8,41.4,0.621,8269.7857,0.1892,0.3016,24.843,88.747345,90.406677
Hong Kong,48.18195726,0.448940569,0.218489725,0.221884553,0.654187592,0.20775548,0.304970087,65.4,30.5,0.952,59065.6431,0.1782,0.3281,23.3,92.921242,94.483452
Hungary,47.4998686,0.477407723,0.183055771,0.434300657,0.731551737,0.156898113,0.369551247,73.2,36.9,0.846,36699.1981,0.0984,0.3333,12.047,90.853661,87.5
Iceland,45.33923303,0.496524755,0.254231713,0.297538165,0.71783245,0.244168908,0.439000552,71.8,43.6,0.961,62858.7374,0.09,0.2031,2.15,92.653061,80.705391
India,35.89309047,0.521423054,0.061635318,0.767057501,0.639617496,0.103072374,0.366529308,64,36.1,0.633,9163.6558,0.2167,0.3904,24.976,78.838501,81.319115
Indonesia,38.84926811,0.496310751,0.048873795,0.978076104,0.800319417,0.19522201,0.439693744,80,43.5,0.705,14861.1163,0.176,0.1932,26.066,85.010483,87.293388
Iran,37.91312233,0.504517556,0.228434665,0.836242809,0.758213922,0.287555721,0.443778656,75.8,44.3,0.774,15117.7405,0.1794,0.2993,18.738,92.323029,96.076462
Iraq,33.44496574,0.513573916,0.095184992,0.897100266,0.654134555,0.098907898,0.382121519,65.4,38.1,0.686,18588.9428,0.1563,0.2521,23.38,71.750252,76.687119
Ireland,46.12263521,0.500165726,0.319372726,0.464182755,0.649696863,0.367138236,0.373860232,65,37.3,0.945,123671.4213,0.1329,0.2365,9.638,88.27655,87.374748
Israel,42.6756093,0.494294027,0.325404159,0.415183004,0.373344194,0.26249349,0.194308985,37.3,19.5,0.919,57726.4106,0.1663,0.2867,20.528,75.204674,90.290176
Italy,47.69556659,0.501990412,0.084205936,0.507741234,0.636882163,0.171773185,0.3908964,63.7,39,0.895,45628.5285,0.1228,0.2206,13.583,91.666672,91.935486
Ivory Coast,33.70482496,0.494212314,0.004921931,0.871913637,0.833824449,0.296667398,0.439047823,83.4,43.7,0.55,9605.7976,0.2078,0.3222,26.966,87.995926,91.853363
Jamaica,43.49032989,0.50213553,0.085843559,0.807342992,0.698715153,0.208363616,0.347315823,69.9,34.5,0.709,10312.1579,0.1892,0.3014,25.683,84.595963,94.029846
Japan,52.20483836,0.489485879,0.223661956,0.214981542,0.487975257,0.244644805,0.244180405,48.8,24.2,0.925,40829.5244,0.1259,0.2474,11.868,88.441696,88.333336
Jordan,35.52455904,0.534752693,0.158276122,0.979290713,0.622994884,0.140166965,0.335534119,62.3,33.8,0.72,12017.0282,0.1991,0.2885,20.01,77.206703,86.883408
Kazakhstan,41.56884223,0.480216018,0.205365158,0.464968916,0.450222774,0.08828575,0.385894804,45,38.2,0.811,40193.6545,0.1453,0.2762,7.296,72.236504,79.404762
Kenya,33.48835291,0.487252435,0.057138584,0.955408147,0.789668452,0.228900822,0.394991225,79,39.3,0.575,8239.8598,0.1568,0.2768,25.239,84.693878,92.323235
Kosovo,38.17756134,0.495507362,0.075998644,0.848389426,0.841544896,0.141073804,0.48475554,84.2,48,NA,14082.2149,0.0885,0.2291,10.632,89.892471,93.447906
Kyrgyzstan,36.32022068,0.476735063,0.11979662,0.730400346,0.729968315,0.204848215,0.538014445,73,53.2,0.692,7592.8007,0.1765,0.2469,2.872,85.339172,86.147186
Laos,35.25815351,0.486321952,0.072222785,0.880866626,0.852505479,0.164332892,0.505320057,85.3,50.5,0.607,10511.3367,0.194,0.2661,24.337,82.990868,88.263474
Latvia,47.56881453,0.446047165,0.252043345,0.293487191,0.544958649,0.159329686,0.316646323,54.5,31,0.863,35657.1832,0.0996,0.2869,7.099,75.537361,74.564102
Lebanon,39.56538296,0.503187886,0.138479299,0.830328258,0.594104637,0.085240954,0.409986831,59.4,40.9,0.706,12551.1984,0.2117,0.3395,15.88,68.004227,75.210083
Lithuania,46.00162586,0.456873534,0.208348128,0.494212104,0.405827654,0.065285041,0.262662943,40.6,25.8,0.875,43899.9816,0.0948,0.2322,7.659,86.819168,88.286331
Madagascar,NA,NA,NA,NA,0.705401281,0.226922611,0.342760383,70.5,34.2,0.501,2482.2972,0.1502,0.2845,22.909,79.2472,84.863777
Malawi,33.21785956,0.46663385,0.01265532,0.993639798,0.713176058,0.157901535,0.390288502,71.3,39.1,0.512,2839.6227,0.1502,0.267,22.7,67.135681,78.383842
Malaysia,36.76094388,0.532076757,0.171264388,0.912855934,0.669285495,0.230137783,0.401567956,66.9,40,0.803,33222.4688,0.1455,0.3061,26.528,90.476189,95.693275
Mali,34.04375738,0.481903357,0.016709662,0.94578323,0.858729086,0.409557778,0.420555402,85.9,42.1,0.428,4328.5601,0.1193,0.251,29.331,95.267494,96.817245
